tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Bacteria	CG2-30-70-394	CG2-30-70-394	CG2-30-70-394	CG2-30-70-394	CG2-30-70-394	CG2-30-70-394 sp001873295	NrdJ	NrdJd
Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	HS-T3	HS-T3 sp000829755	NrdA	NrdAe
Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia	Neochlamydia sp000813665	NrdA	NrdAe
Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JABDFJ01	JABDFJ01 sp013286645	NrdA	NrdAe
Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JACDHD01	JACDHD01 sp013821265	NrdA	NrdAe
Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Rubidus	Rubidus massiliensis	NrdA	NrdAe
Bacteria	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	UBA9611	UBA9611 sp002730485	NrdA	NrdAe
Bacteria	Chloroflexota	Anaerolineae	UBA2200	UBA2200	UBA2232	UBA2232 sp002348045	NrdA	NrdAe
Bacteria	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	GCA-002718395	GCA-002718395 sp002718395	NrdA	NrdAe
Bacteria	Chloroflexota	Dehalococcoidia	UBA2985	UBA2985	VFHP01	VFHP01 sp009391535	NrdA	NrdAg
Bacteria	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	GCA-2707185	GCA-2707185 sp002707185	NrdA	NrdAk
Bacteria	Chrysiogenetota	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Desulfurispirillum	Desulfurispirillum indicum	NrdD	NrdDd
Bacteria	Chrysiogenetota	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Desulfurispira	Desulfurispira natronophila	NrdD	NrdDd
Bacteria	Chrysiogenetota	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Chrysiogenes	Chrysiogenes arsenatis	NrdD	NrdDd
Bacteria	Chrysiogenetota	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Desulfurispirillum	Desulfurispirillum indicum	NrdJ	NrdJuc02
Bacteria	Chrysiogenetota	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Desulfurispira	Desulfurispira natronophila	NrdJ	NrdJuc02
Bacteria	CLD3	CLD3	CLD3	CLD3	CLD3	CLD3 sp008501735	NrdJ	NrdJd
Bacteria	CLD3	CLD3	SB21	SB21	JABWBZ01	JABWBZ01 sp013359335	NrdJ	NrdJd
Bacteria	CLD3	CLD3	SB21	SB21	JABWCP01	JABWCP01 sp013360215	NrdJ	NrdJd
Bacteria	CLD3	CLD3	SB21	SB21	SB21	SB21 sp008933615	NrdJ	NrdJd
Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	UBA3900	UBA3900 sp012522935	NrdD	NrdDd
Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Syntrophosphaera	Syntrophosphaera sp012728875	NrdD	NrdDd
Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	TCS61	JABMPU01	JABMPU01 sp013203665	NrdD	NrdDd
Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	TCS61	SDB	SDB sp001412425	NrdD	NrdDd
Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Syntrophosphaera	Syntrophosphaera sp012522635	NrdD	NrdDd
Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter platensis	NrdD	NrdDd
Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter proteolyticus	NrdD	NrdDd
Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter sp003476705	NrdD	NrdDd
Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter sp012842545	NrdJ	NrdJuc02
